Connection established...
[MODE:0][Sel:Y][FCW:       1][      82] : [ref/(  -16,0)] vs [mpw/(  -16, 0)] ---> PASS  | Err=0
[MODE:0][Sel:Y][FCW:       1][      83] : [ref/(  -16,0)] vs [mpw/(  -16, 0)] ---> PASS  | Err=0
[MODE:0][Sel:Y][FCW:       1][      84] : [ref/(  -16,0)] vs [mpw/(  -16, 0)] ---> PASS  | Err=0
[MODE:0][Sel:Y][FCW:       1][      85] : [ref/(  -16,1)] vs [mpw/(  -16, 1)] ---> PASS  | Err=0
[MODE:0][Sel:Y][FCW:       1][      86] : [ref/(  -16,0)] vs [mpw/(  -16, 0)] ---> PASS  | Err=0
[MODE:0][Sel:Y][FCW:       1][      87] : [ref/(  -16,0)] vs [mpw/(  -16, 0)] ---> PASS  | Err=0
[MODE:0][Sel:Y][FCW:       1][      88] : [ref/(  -16,0)] vs [mpw/(  -16, 0)] ---> PASS  | Err=0
[MODE:0][Sel:Y][FCW:       1][      89] : [ref/(  -16,0)] vs [mpw/(  -16, 0)] ---> PASS  | Err=0
[MODE:0][Sel:Y][FCW:       1][      90] : [ref/(  -16,0)] vs [mpw/(  -16, 0)] ---> PASS  | Err=0
[MODE:0][Sel:Y][FCW:       1][      91] : [ref/(  -16,0)] vs [mpw/(  -16, 0)] ---> PASS  | Err=0
[MODE:0][Sel:Y][FCW:       1][      92] : [ref/(  -16,1)] vs [mpw/(  -16, 1)] ---> PASS  | Err=0
[MODE:0][Sel:Y][FCW:       1][      93] : [ref/(  -16,0)] vs [mpw/(  -16, 0)] ---> PASS  | Err=0
[MODE:0][Sel:Y][FCW:       1][      94] : [ref/(  -16,0)] vs [mpw/(  -16, 0)] ---> PASS  | Err=0
[MODE:0][Sel:Y][FCW:       1][      95] : [ref/(  -16,0)] vs [mpw/(  -16, 0)] ---> PASS  | Err=0
[MODE:0][Sel:Y][FCW:       1][      96] : [ref/(  -16,0)] vs [mpw/(  -16, 0)] ---> PASS  | Err=0
[MODE:0][Sel:Y][FCW:       1][      97] : [ref/(  -16,0)] vs [mpw/(  -16, 0)] ---> PASS  | Err=0
[MODE:0][Sel:Y][FCW:       1][      98] : [ref/(  -16,0)] vs [mpw/(  -16, 0)] ---> PASS  | Err=0
[MODE:0][Sel:Y][FCW:       1][      99] : [ref/(  -16,1)] vs [mpw/(  -16, 1)] ---> PASS  | Err=0
[MODE:0][Sel:Y][FCW:       2][       0] : [ref/(xxxxx,x)] vs [mpw/(xxxxx, x)] ---> FLUSH | Err=0
[MODE:0][Sel:Y][FCW:       2][       1] : [ref/(xxxxx,x)] vs [mpw/(xxxxx, x)] ---> FLUSH | Err=0
