txMsgBitstream nrzI nrzQ modI modQ modOut deModI deModQ lpfI lpfQ sampledStreamI sampledStreamQ rxMsgToBitstream
1 1 1 -1939 654 -1285 2491615 -840390 -2.06526e+06 -2.09119e+06 2.09371e+06 2.09512e+06 1
1 1 1 -2042 -140 -2182 4455644 305480 -2.05098e+06 -2.08566e+06 2.09371e+06 2.09512e+06 1
1 1 1 -1812 -947 -2759 4999308 2612773 -2.03124e+06 -2.07716e+06 2.09371e+06 2.09512e+06 1
1 1 1 -1316 -1566 -2882 3792712 4513212 -2.00479e+06 -2.06479e+06 2.09371e+06 2.09512e+06 1
1 1 1 -578 -1963 -2541 1468698 4987983 -1.97021e+06 -2.04746e+06 2.09371e+06 2.09512e+06 1
1 1 1 203 -2034 -1831 -371693 3724254 -1.92604e+06 -2.02393e+06 2.09371e+06 2.09512e+06 1
1 1 1 1003 -1782 -779 -781337 1388178 -1.87088e+06 -1.99279e+06 2.09371e+06 2.09512e+06 1
1 1 1 1625 -1239 386 627250 -478254 -1.80347e+06 -1.95256e+06 2.09371e+06 2.09512e+06 1
1 1 1 1978 -517 1461 2889858 -755337 -1.72274e+06 -1.9018e+06 2.09371e+06 2.09512e+06 1
1 1 1 2023 301 2324 4701452 699524 -1.62788e+06 -1.83917e+06 2.09371e+06 2.09512e+06 1
1 1 1 1735 1083 2818 4889230 3051894 -1.51837e+06 -1.76354e+06 2.09371e+06 2.09512e+06 1
1 1 1 1189 1665 2854 3393406 4751910 -1.39397e+06 -1.67399e+06 2.09371e+06 2.09512e+06 1
1 1 1 425 2000 2425 1030625 4850000 -1.25481e+06 -1.56985e+06 2.09371e+06 2.09512e+06 1
1 1 1 -395 2009 1614 -637530 3242526 -1.10143e+06 -1.45074e+06 2.09371e+06 2.09512e+06 1
1 1 1 -1137 1700 563 -640131 957100 -934861 -1.31664e+06 2.09371e+06 2.09512e+06 1
1 1 1 -1718 1111 -607 1042826 -674377 -756595 -1.16793e+06 2.09371e+06 2.09512e+06 1
1 1 1 -2013 363 -1650 3321450 -598950 -568569 -1.00549e+06 2.09371e+06 2.09512e+06 1
1 1 1 -1994 -455 -2449 4883306 1114295 -373070 -830678 2.09371e+06 2.09512e+06 1
1 1 1 -1645 -1215 -2860 4704700 3474900 -172618 -645306 2.09371e+06 2.09512e+06 1
1 1 1 -1057 -1751 -2808 2968056 4916808 30135.9 -451564 2.09371e+06 2.09512e+06 1
1 1 1 -267 -2028 -2295 612765 4654260 232494 -251902 2.09371e+06 2.09512e+06 1
1 1 1 519 -1980 -1461 -758259 2892780 431774 -48936.3 2.09371e+06 2.09512e+06 1
1 1 1 1267 -1608 -341 -432047 548328 625373 154637 2.09371e+06 2.09512e+06 1
1 1 1 1796 -975 821 1474516 -800475 810840 356100 2.09371e+06 2.09512e+06 1
1 1 1 2036 -205 1831 3727916 -375355 985977 552778 2.09371e+06 2.09512e+06 1
1 1 1 1953 608 2561 5001633 1557088 1.14895e+06 742121 2.09371e+06 2.09512e+06 1
1 1 1 1566 1316 2882 4513212 3792712 1.29835e+06 921806 2.09371e+06 2.09512e+06 1
1 1 1 919 1826 2745 2522655 5012370 1.43329e+06 1.08986e+06 2.09371e+06 2.09512e+06 1
1 1 1 140 2042 2182 305480 4455644 1.55334e+06 1.24472e+06 2.09371e+06 2.09512e+06 1
1 1 1 -651 1935 1284 -835884 2484540 1.65849e+06 1.38535e+06 2.09371e+06 2.09512e+06 1
1 1 1 -1389 1504 115 -159735 172960 1.74909e+06 1.51116e+06 2.09371e+06 2.09512e+06 1
1 1 1 -1854 860 -994 1842876 -854840 1.82577e+06 1.62201e+06 2.09371e+06 2.09512e+06 1
1 1 1 -2047 48 -1999 4091953 -95952 1.88943e+06 1.71809e+06 2.09371e+06 2.09512e+06 1
