Connection established...
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/( 2034,0), (  205,0)] vs [mpw/( 2034, 0), (  205,0)] ---> PASS, ErrNum: 0
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/( 2034,0), (  205,0)] vs [mpw/( 2034, 0), (  205,0)] ---> PASS, ErrNum: 0
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/( 2034,0), (  205,0)] vs [mpw/( 2034, 0), (  205,0)] ---> PASS, ErrNum: 0
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/( 2034,0), (  205,0)] vs [mpw/( 2034, 0), (  205,0)] ---> PASS, ErrNum: 0
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/( 2034,0), (  205,0)] vs [mpw/( 2034, 0), (  205,0)] ---> PASS, ErrNum: 0
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/( 2034,0), (  205,0)] vs [mpw/( 2034, 0), (  205,0)] ---> PASS, ErrNum: 0
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/( 2034,1), (  205,1)] vs [mpw/( 2034, 1), (  205,1)] ---> PASS, ErrNum: 0
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/( 2009,0), (  393,0)] vs [mpw/( 2009, 0), (  457,0)] ---> FAIL, ErrNum: 0
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/( 2009,0), (  393,0)] vs [mpw/( 2009, 0), (  457,0)] ---> FAIL, ErrNum: 1
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/( 2009,0), (  393,0)] vs [mpw/( 2009, 0), (  457,0)] ---> FAIL, ErrNum: 2
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/( 2009,0), (  393,0)] vs [mpw/( 2009, 0), (  457,0)] ---> FAIL, ErrNum: 3
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/( 2009,0), (  393,0)] vs [mpw/( 2009, 0), (  457,0)] ---> FAIL, ErrNum: 4
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/( 2009,0), (  393,0)] vs [mpw/( 2009, 0), (  457,0)] ---> FAIL, ErrNum: 5
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/( 2009,1), (  393,1)] vs [mpw/( 2009, 1), (  457,1)] ---> FAIL, ErrNum: 6
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/( 1953,0), (  608,0)] vs [mpw/( 1953, 0), (  608,0)] ---> PASS, ErrNum: 7
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/( 1953,0), (  608,0)] vs [mpw/( 1953, 0), (  608,0)] ---> PASS, ErrNum: 7
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/( 1953,0), (  608,0)] vs [mpw/( 1953, 0), (  608,0)] ---> PASS, ErrNum: 7
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/( 1953,0), (  608,0)] vs [mpw/( 1953, 0), (  608,0)] ---> PASS, ErrNum: 7
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/( 1953,0), (  608,0)] vs [mpw/( 1953, 0), (  608,0)] ---> PASS, ErrNum: 7
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/( 1953,0), (  608,0)] vs [mpw/( 1953, 0), (  608,0)] ---> PASS, ErrNum: 7
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/( 1953,1), (  608,1)] vs [mpw/( 1953, 1), (  608,1)] ---> PASS, ErrNum: 7
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/( 1892,0), (  774,0)] vs [mpw/( 1892, 0), (  838,0)] ---> FAIL, ErrNum: 7
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/( 1892,0), (  774,0)] vs [mpw/( 1892, 0), (  838,0)] ---> FAIL, ErrNum: 8
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/( 1892,0), (  774,0)] vs [mpw/( 1892, 0), (  838,0)] ---> FAIL, ErrNum: 9
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/( 1892,0), (  774,0)] vs [mpw/( 1892, 0), (  838,0)] ---> FAIL, ErrNum: 10
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/( 1892,0), (  774,0)] vs [mpw/( 1892, 0), (  838,0)] ---> FAIL, ErrNum: 11
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/( 1892,0), (  774,0)] vs [mpw/( 1892, 0), (  838,0)] ---> FAIL, ErrNum: 12
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/( 1892,1), (  774,1)] vs [mpw/( 1892, 1), (  838,1)] ---> FAIL, ErrNum: 13
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/( 1798,0), (  975,0)] vs [mpw/( 1798, 0), (  975,0)] ---> PASS, ErrNum: 14
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/( 1798,0), (  975,0)] vs [mpw/( 1798, 0), (  975,0)] ---> PASS, ErrNum: 14
